Protein ID,Gene name,Protein name,Genename_ProteinID,Mol. weight [Da],Sequence coverage [%],Peptides per protein,Unique peptides per protein
Q6UWM9,UGT2A3,UDP-glucuronosyltransferase 2A3,UGT2A3__Q6UWM9,60254.0,34.5,19.0,15.0
Q6UWP2,DHRS11,Dehydrogenase/reductase SDR family member 11,DHRS11__Q6UWP2,28308.0,56.5,11.0,11.0
Q6UWP7-3,LCLAT1,Lysocardiolipin acyltransferase 1,LCLAT1__Q6UWP7-3,44561.0,29.3,10.0,10.0
Q6UWP8,SBSN,Suprabasin,SBSN__Q6UWP8,60540.0,27.1,7.0,7.0
Q6UWR7,ENPP6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,ENPP6__Q6UWR7,50240.0,10.0,4.0,4.0
Q6UWU4,C6orf89,Bombesin receptor-activated protein C6orf89,C6orf89__Q6UWU4,39870.0,11.2,4.0,2.0
Q6UWW8,CES3,Carboxylesterase 3,CES3__Q6UWW8,62281.0,24.7,10.0,10.0
Q6UWY0,ARSK,Arylsulfatase K,ARSK__Q6UWY0,61450.0,9.9,5.0,5.0
Q6UWY5,OLFML1,Olfactomedin-like protein 1,OLFML1__Q6UWY5,45950.0,59.5,21.0,21.0
Q6UWZ7,FAM175A,BRCA1-A complex subunit Abraxas,FAM175A__Q6UWZ7,46662.0,18.3,6.0,6.0
Q6UX04,CWC27,Peptidyl-prolyl cis-trans isomerase CWC27 homolog,CWC27__Q6UX04,53846.0,46.4,15.0,15.0
Q6UX06,OLFM4,Olfactomedin-4,OLFM4__Q6UX06,57279.0,31.2,12.0,12.0
Q6UX07,DHRS13,Dehydrogenase/reductase SDR family member 13,DHRS13__Q6UX07,40848.0,19.4,7.0,7.0
Q6UX65,DRAM2,DNA damage-regulated autophagy modulator protein 2,DRAM2__Q6UX65,29766.0,16.5,3.0,3.0
Q6UX71,PLXDC2,Plexin domain-containing protein 2,PLXDC2__Q6UX71,59582.0,32.7,14.0,14.0
Q6UX72,B3GNT9,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",B3GNT9__Q6UX72,43751.0,14.2,5.0,5.0
Q6UX98,ZDHHC24,Probable palmitoyltransferase ZDHHC24,ZDHHC24__Q6UX98,30175.0,9.5,2.0,2.0
Q6UXB4,CLEC4G,C-type lectin domain family 4 member G,CLEC4G__Q6UXB4,32561.0,31.1,8.0,8.0
Q6UXB8,PI16,Peptidase inhibitor 16,PI16__Q6UXB8,49471.0,27.6,10.0,10.0
Q6UXG8-3,BTNL9,Butyrophilin-like protein 9,BTNL9__Q6UXG8-3,38382.0,7.8,2.0,2.0
Q6UXH0,C19orf80,Angiopoietin-like protein 8,C19orf80__Q6UXH0,22105.0,13.6,3.0,3.0
Q6UXH1-4,CRELD2,Cysteine-rich with EGF-like domain protein 2,CRELD2__Q6UXH1-4,35288.0,13.8,4.0,4.0
Q6UXI7,VIT,Vitrin,VIT__Q6UXI7,73929.0,17.8,11.0,1.0
Q6UXN9,WDR82,WD repeat-containing protein 82,WDR82__Q6UXN9,35079.0,49.8,13.0,10.0
Q6UXT9,ABHD15,Abhydrolase domain-containing protein 15,ABHD15__Q6UXT9,51771.0,18.6,8.0,8.0
Q6UY14,ADAMTSL4,ADAMTS-like protein 4,ADAMTSL4__Q6UY14,116540.0,12.8,13.0,13.0
Q6V0I7-3,FAT4,Protocadherin Fat 4,FAT4__Q6V0I7-3,542610.0,1.5,7.0,7.0
Q6V1X1-5,DPP8,Dipeptidyl peptidase 8,DPP8__Q6V1X1-5,97738.0,14.4,10.0,10.0
Q6VMQ6-5,ATF7IP,Activating transcription factor 7-interacting protein 1,ATF7IP__Q6VMQ6-5,136320.0,14.5,12.0,1.0
Q6VVB1,NHLRC1,E3 ubiquitin-protein ligase NHLRC1,NHLRC1__Q6VVB1,42292.0,14.2,5.0,5.0
Q6VY07,PACS1,Phosphofurin acidic cluster sorting protein 1,PACS1__Q6VY07,104900.0,43.2,30.0,29.0
Q6WCQ1,MPRIP,Myosin phosphatase Rho-interacting protein,MPRIP__Q6WCQ1,116530.0,70.5,62.0,20.0
Q6WKZ4,RAB11FIP1,Rab11 family-interacting protein 1,RAB11FIP1__Q6WKZ4,137170.0,19.9,20.0,19.0
Q6XQN6,NAPRT,Nicotinate phosphoribosyltransferase,NAPRT__Q6XQN6,57578.0,68.4,25.0,25.0
Q6XR72,SLC30A10,Zinc transporter 10,SLC30A10__Q6XR72,52683.0,25.2,9.0,9.0
Q6XUX3-2,DSTYK,Dual serine/threonine and tyrosine protein kinase,DSTYK__Q6XUX3-2,99967.0,13.5,9.0,9.0
Q6XZF7,DNMBP,Dynamin-binding protein,DNMBP__Q6XZF7,177350.0,41.2,48.0,48.0
Q6Y1H2,HACD2,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2,HACD2__Q6Y1H2,28368.0,17.3,5.0,5.0
Q6Y288,B3GALTL,"Beta-1,3-glucosyltransferase",B3GALTL__Q6Y288,56563.0,17.7,6.0,6.0
Q6Y7W6-4,GIGYF2,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2__Q6Y7W6-4,148630.0,31.6,35.0,33.0
Q6YHK3,CD109,CD109 antigen,CD109__Q6YHK3,161690.0,28.2,31.0,31.0
Q6YHU6,THADA,Thyroid adenoma-associated protein,THADA__Q6YHU6,219600.0,13.9,23.0,23.0
Q6YN16,HSDL2,Hydroxysteroid dehydrogenase-like protein 2,HSDL2__Q6YN16,45394.0,80.9,31.0,31.0
Q6YP21-3,CCBL2,Kynurenine--oxoglutarate transaminase 3,CCBL2__Q6YP21-3,47752.0,44.5,16.0,16.0
Q6ZMD2-2,SPNS3,Protein spinster homolog 3,SPNS3__Q6ZMD2-2,41339.0,3.9,1.0,1.0
Q6ZMH5,SLC39A5,Zinc transporter ZIP5,SLC39A5__Q6ZMH5,56460.0,7.6,4.0,4.0
Q6ZMI0,PPP1R21,Protein phosphatase 1 regulatory subunit 21,PPP1R21__Q6ZMI0,88313.0,54.9,38.0,38.0
Q6ZMJ2,SCARA5,Scavenger receptor class A member 5,SCARA5__Q6ZMJ2,53994.0,13.7,6.0,6.0
Q6ZMP0,THSD4,Thrombospondin type-1 domain-containing protein 4,THSD4__Q6ZMP0,112450.0,22.9,21.0,21.0
Q6ZMZ3,SYNE3,Nesprin-3,SYNE3__Q6ZMZ3,112220.0,52.4,47.0,47.0
Q6ZN04,MEX3B,RNA-binding protein MEX3B,MEX3B__Q6ZN04,58832.0,11.6,5.0,2.0
Q6ZN40,TPM1,,TPM1__Q6ZN40,37452.0,79.4,51.0,1.0
Q6ZNA5,FRRS1,Ferric-chelate reductase 1,FRRS1__Q6ZNA5,66114.0,13.5,7.0,7.0
Q6ZNB6,NFXL1,NF-X1-type zinc finger protein NFXL1,NFXL1__Q6ZNB6,101340.0,23.3,16.0,16.0
Q6ZNB7,AGMO,Alkylglycerol monooxygenase,AGMO__Q6ZNB7,51499.0,25.6,9.0,9.0
Q6ZNC8,MBOAT1,Lysophospholipid acyltransferase 1,MBOAT1__Q6ZNC8,56557.0,11.1,6.0,6.0
Q6ZNE5,ATG14,Beclin 1-associated autophagy-related key regulator,ATG14__Q6ZNE5,55309.0,9.1,3.0,3.0
Q6ZNJ1-3,NBEAL2,Neurobeachin-like protein 2,NBEAL2__Q6ZNJ1-3,299340.0,19.9,40.0,40.0
Q6ZNL6,FGD5,"FYVE, RhoGEF and PH domain-containing protein 5",FGD5__Q6ZNL6,159890.0,21.7,23.0,14.0
Q6ZNW5,GDPGP1,GDP-D-glucose phosphorylase 1,GDPGP1__Q6ZNW5,42362.0,18.4,5.0,5.0
Q6ZPD9,DPY19L3,Probable C-mannosyltransferase DPY19L3,DPY19L3__Q6ZPD9,83196.0,17.2,13.0,13.0
Q6ZQN7,SLCO4C1,Solute carrier organic anion transporter family member 4C1,SLCO4C1__Q6ZQN7,78948.0,12.4,7.0,7.0
Q6ZQX7-4,LIAT1,Protein LIAT1,LIAT1__Q6ZQX7-4,46413.0,32.2,4.0,2.0
Q6ZRP7,QSOX2,Sulfhydryl oxidase 2,QSOX2__Q6ZRP7,77528.0,33.1,18.0,18.0
Q6ZRS2-2,SRCAP,Helicase SRCAP,SRCAP__Q6ZRS2-2,337440.0,11.5,30.0,30.0
Q6ZRV2,FAM83H,Protein FAM83H,FAM83H__Q6ZRV2,127120.0,33.0,28.0,28.0
Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2,RBPMS2__Q6ZRY4,22496.0,43.1,7.0,4.0
Q6ZS11,RINL,Ras and Rab interactor-like protein,RINL__Q6ZS11,62466.0,5.5,3.0,3.0
Q6ZS30,NBEAL1,Neurobeachin-like protein 1,NBEAL1__Q6ZS30,307230.0,12.2,27.0,27.0
Q6ZS72,C19orf35,Putative uncharacterized protein C19orf35,C19orf35__Q6ZS72,50509.0,4.9,2.0,2.0
Q6ZS81-4,WDFY4,WD repeat- and FYVE domain-containing protein 4,WDFY4__Q6ZS81-4,352660.0,12.7,34.0,34.0
Q6ZSJ8,C1orf122,Uncharacterized protein C1orf122,C1orf122__Q6ZSJ8,11471.0,32.7,3.0,3.0
Q6ZSS7,MFSD6,Major facilitator superfamily domain-containing protein 6,MFSD6__Q6ZSS7,88087.0,3.3,2.0,2.0
Q6ZT12,UBR3,E3 ubiquitin-protein ligase UBR3,UBR3__Q6ZT12,212430.0,15.8,26.0,26.0
Q6ZT21-2,TMPPE,Transmembrane protein with metallophosphoesterase domain,TMPPE__Q6ZT21-2,34078.0,22.5,5.0,5.0
Q6ZT62,Q6ZT62,,Q6ZT62__Q6ZT62,73599.0,49.5,26.0,
Q6ZTI6,FAM101A,Filamin-interacting protein FAM101A,FAM101A__Q6ZTI6,23610.0,28.7,5.0,5.0
Q6ZU35,KIAA1211,Uncharacterized protein KIAA1211,KIAA1211__Q6ZU35,136760.0,17.1,20.0,15.0
Q6ZU65,UBN2,Ubinuclein-2,UBN2__Q6ZU65,146090.0,4.7,6.0,6.0
Q6ZU80-1,CEP128,Centrosomal protein of 128 kDa,CEP128__Q6ZU80-1,115780.0,13.0,12.0,12.0
Q6ZUJ8,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1,PIK3AP1__Q6ZUJ8,90397.0,52.0,29.0,29.0
Q6ZUT1-3,C11orf57,Uncharacterized protein C11orf57,C11orf57__Q6ZUT1-3,30844.0,13.6,3.0,3.0
Q6ZUT6,C15orf52,Uncharacterized protein C15orf52,C15orf52__Q6ZUT6,57324.0,34.8,18.0,18.0
Q6ZUX7,LHFPL2,Lipoma HMGIC fusion partner-like 2 protein,LHFPL2__Q6ZUX7,24486.0,18.9,3.0,3.0
Q6ZV29-4,PNPLA7,Patatin-like phospholipase domain-containing protein 7,PNPLA7__Q6ZV29-4,140480.0,20.0,20.0,16.0
Q6ZV73-2,FGD6,"FYVE, RhoGEF and PH domain-containing protein 6",FGD6__Q6ZV73-2,154460.0,7.0,8.0,8.0
Q6ZV89-2,SH2D5,SH2 domain-containing protein 5,SH2D5__Q6ZV89-2,37439.0,10.0,2.0,2.0
Q6ZVF9,GPRIN3,G protein-regulated inducer of neurite outgrowth 3,GPRIN3__Q6ZVF9,82438.0,18.0,11.0,11.0
Q6ZVK8,NUDT18,8-oxo-dGDP phosphatase NUDT18,NUDT18__Q6ZVK8,35501.0,17.3,4.0,4.0
Q6ZVL6,KIAA1549L,UPF0606 protein KIAA1549L,KIAA1549L__Q6ZVL6,199000.0,3.0,4.0,4.0
Q6ZVM7,TOM1L2,TOM1-like protein 2,TOM1L2__Q6ZVM7,55556.0,49.9,20.0,20.0
Q6ZVW7,IL17REL,Putative interleukin-17 receptor E-like,IL17REL__Q6ZVW7,37514.0,10.4,4.0,4.0
Q6ZVX7,NCCRP1,F-box only protein 50,NCCRP1__Q6ZVX7,30847.0,4.0,1.0,1.0
Q6ZVX9,PAQR9,Progestin and adipoQ receptor family member 9,PAQR9__Q6ZVX9,42692.0,6.4,2.0,2.0
Q6ZW31-2,SYDE1,Rho GTPase-activating protein SYDE1,SYDE1__Q6ZW31-2,72910.0,22.9,12.0,10.0
Q6ZW49,PAXIP1,PAX-interacting protein 1,PAXIP1__Q6ZW49,121340.0,7.9,7.0,7.0
Q6ZWJ1,STXBP4,Syntaxin-binding protein 4,STXBP4__Q6ZWJ1,61661.0,19.0,10.0,10.0
Q6ZWL3-2,CYP4V2,Cytochrome P450 4V2,CYP4V2__Q6ZWL3-2,58165.0,39.8,18.0,14.0
Q6ZWT7,MBOAT2,Lysophospholipid acyltransferase 2,MBOAT2__Q6ZWT7,59526.0,24.4,11.0,11.0
Q6ZXV5-2,TMTC3,Transmembrane and TPR repeat-containing protein 3,TMTC3__Q6ZXV5-2,103880.0,32.9,24.0,24.0
Q6ZYL4,GTF2H5,General transcription factor IIH subunit 5,GTF2H5__Q6ZYL4,8053.3,36.6,2.0,2.0
Q702N8,XIRP1,Xin actin-binding repeat-containing protein 1,XIRP1__Q702N8,198560.0,16.5,23.0,22.0
Q709C8-3,VPS13C,Vacuolar protein sorting-associated protein 13C,VPS13C__Q709C8-3,417270.0,41.7,129.0,128.0
Q709F0,ACAD11,Acyl-CoA dehydrogenase family member 11,ACAD11__Q709F0,87282.0,44.2,28.0,27.0
Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34,USP34__Q70CQ2,404230.0,14.5,42.0,42.0
Q70CQ3,USP30,Ubiquitin carboxyl-terminal hydrolase 30,USP30__Q70CQ3,58502.0,14.9,5.0,5.0
Q70E73,RAPH1,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1__Q70E73,135250.0,35.0,33.0,1.0
Q70E73-7,RAPH1,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1__Q70E73-7,70028.0,38.0,19.0,1.0
Q70E73-8,RAPH1,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1__Q70E73-8,69794.0,35.0,18.0,1.0
Q70EK8,USP53,Inactive ubiquitin carboxyl-terminal hydrolase 53,USP53__Q70EK8,120800.0,13.7,12.0,12.0
V9GXZ5,USP43,Ubiquitin carboxyl-terminal hydrolase 43,USP43__V9GXZ5,100360.0,6.8,5.0,5.0
Q70J99,UNC13D,Protein unc-13 homolog D,UNC13D__Q70J99,123280.0,34.2,27.0,20.0
Q70JA7,CHSY3,Chondroitin sulfate synthase 3,CHSY3__Q70JA7,100280.0,14.2,10.0,10.0
Q70SY1-2,CREB3L2,Cyclic AMP-responsive element-binding protein 3-like protein 2,CREB3L2__Q70SY1-2,50842.0,7.4,3.0,1.0
Q70UQ0,IKBIP,Inhibitor of nuclear factor kappa-B kinase-interacting protein,IKBIP__Q70UQ0,39309.0,54.6,22.0,16.0
Q70UQ0-4,IKBIP,Inhibitor of nuclear factor kappa-B kinase-interacting protein,IKBIP__Q70UQ0-4,43083.0,60.5,27.0,21.0
Q70Z35-3,PREX2,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein",PREX2__Q70Z35-3,112090.0,4.0,3.0,3.0
Q712K3,UBE2R2,Ubiquitin-conjugating enzyme E2 R2,UBE2R2__Q712K3,27166.0,25.2,6.0,5.0
Q717R9,CYS1,Cystin-1,CYS1__Q717R9,16393.0,43.0,3.0,3.0
Q71DI3,HIST2H3A,Histone H3.2,HIST2H3A__Q71DI3,15388.0,69.1,14.0,1.0
Q71F23,CENPU,Centromere protein U,CENPU__Q71F23,47521.0,29.4,10.0,10.0
Q71RC2,LARP4,La-related protein 4,LARP4__Q71RC2,80595.0,33.4,19.0,19.0
Q71RG4-2,TMUB2,Transmembrane and ubiquitin-like domain-containing protein 2,TMUB2__Q71RG4-2,31607.0,34.6,6.0,6.0
Q71SY5-5,MED25,Mediator of RNA polymerase II transcription subunit 25,MED25__Q71SY5-5,76511.0,11.1,6.0,5.0
Q71U36,TUBA1A,Tubulin alpha-1A chain,TUBA1A__Q71U36,50135.0,85.8,35.0,
Q75N03-2,CBLL1,E3 ubiquitin-protein ligase Hakai,CBLL1__Q75N03-2,54389.0,28.2,10.0,9.0
Q75QN2-2,INTS8,Integrator complex subunit 8,INTS8__Q75QN2-2,111110.0,15.3,12.0,6.0
Q75T13-2,PGAP1,GPI inositol-deacylase,PGAP1__Q75T13-2,85238.0,11.1,7.0,7.0
Q76EJ3-2,SLC35D2,UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter,SLC35D2__Q76EJ3-2,26702.0,24.5,4.0,4.0
Q76FK4-4,NOL8,Nucleolar protein 8,NOL8__Q76FK4-4,127340.0,25.1,27.0,27.0
Q76M96,CCDC80,Coiled-coil domain-containing protein 80,CCDC80__Q76M96,108170.0,42.3,34.0,34.0
Q76NI1-3,KNDC1,Protein very KIND,KNDC1__Q76NI1-3,184130.0,4.4,5.0,5.0
Q7KYR7-5,BTN2A1,Butyrophilin subfamily 2 member A1,BTN2A1__Q7KYR7-5,53203.0,22.5,8.0,8.0
Q7KZ85,SUPT6H,Transcription elongation factor SPT6,SUPT6H__Q7KZ85,199070.0,45.5,64.0,45.0
Q7KZ85-2,SUPT6H,Transcription elongation factor SPT6,SUPT6H__Q7KZ85-2,61300.0,40.0,20.0,
Q7KZF4,SND1,Staphylococcal nuclease domain-containing protein 1,SND1__Q7KZF4,102000.0,68.0,53.0,53.0
Q7KZN9-2,COX15,Cytochrome c oxidase assembly protein COX15 homolog,COX15__Q7KZN9-2,43835.0,24.0,8.0,8.0
Q7L099-4,RUFY3,Protein RUFY3,RUFY3__Q7L099-4,64720.0,28.2,14.0,13.0
Q7L0J3,SV2A,Synaptic vesicle glycoprotein 2A,SV2A__Q7L0J3,82694.0,13.2,8.0,8.0
Q7L0Y3,TRMT10C,Mitochondrial ribonuclease P protein 1,TRMT10C__Q7L0Y3,47346.0,55.8,21.0,21.0
Q7L1Q6,BZW1,Basic leucine zipper and W2 domain-containing protein 1,BZW1__Q7L1Q6,48043.0,56.8,22.0,21.0
Q7L1T6,CYB5R4,Cytochrome b5 reductase 4,CYB5R4__Q7L1T6,59473.0,14.2,6.0,6.0
Q7L1V2,MON1B,Vacuolar fusion protein MON1 homolog B,MON1B__Q7L1V2,59217.0,25.0,12.0,11.0
Q7L1W4,LRRC8D,Volume-regulated anion channel subunit LRRC8D,LRRC8D__Q7L1W4,98200.0,36.2,26.0,26.0
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase,ASRGL1__Q7L266,32054.0,46.8,9.0,9.0
Q7L273,KCTD9,BTB/POZ domain-containing protein KCTD9,KCTD9__Q7L273,42566.0,27.8,7.0,7.0
Q7L2E3-2,DHX30,Putative ATP-dependent RNA helicase DHX30,DHX30__Q7L2E3-2,136110.0,56.8,57.0,57.0
Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M,EIF3M__Q7L2H7,42502.0,73.5,21.0,21.0
Q7L2J0,MEPCE,7SK snRNA methylphosphate capping enzyme,MEPCE__Q7L2J0,74354.0,42.1,18.0,18.0
Q7L2Z9,CENPQ,Centromere protein Q,CENPQ__Q7L2Z9,30595.0,18.3,4.0,4.0
Q7L311,ARMCX2,Armadillo repeat-containing X-linked protein 2,ARMCX2__Q7L311,65683.0,44.6,16.0,16.0
Q7L3T8,PARS2,"Probable proline--tRNA ligase, mitochondrial",PARS2__Q7L3T8,53262.0,20.4,8.0,8.0
Q7L4E1,FAM73B,Protein FAM73B,FAM73B__Q7L4E1,65530.0,7.1,3.0,3.0
Q7L4I2,RSRC2,Arginine/serine-rich coiled-coil protein 2,RSRC2__Q7L4I2,50559.0,12.0,4.0,4.0
Q7L4S7,ARMCX6,Protein ARMCX6,ARMCX6__Q7L4S7,33019.0,8.7,1.0,1.0
Q7L523,RRAGA,Ras-related GTP-binding protein A,RRAGA__Q7L523,36566.0,37.1,10.0,2.0
Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1,CYFIP1__Q7L576,145180.0,50.3,52.0,15.0
Q7L591-3,DOK3,Docking protein 3,DOK3__Q7L591-3,35734.0,17.0,5.0,1.0
Q7L592,NDUFAF7,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7",NDUFAF7__Q7L592,49237.0,45.1,15.0,15.0
Q7L5D6,GET4,Golgi to ER traffic protein 4 homolog,GET4__Q7L5D6,36504.0,34.3,10.0,10.0
Q7L5N7,LPCAT2,Lysophosphatidylcholine acyltransferase 2,LPCAT2__Q7L5N7,60207.0,48.5,22.0,22.0
Q7L5Y1,ENOSF1,Mitochondrial enolase superfamily member 1,ENOSF1__Q7L5Y1,49786.0,44.0,17.0,17.0
Q7L775,EPM2AIP1,EPM2A-interacting protein 1,EPM2AIP1__Q7L775,70369.0,30.1,14.0,14.0
Q7L7V1,DHX32,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,DHX32__Q7L7V1,84418.0,17.9,12.0,12.0
Q7L7X3,TAOK1,Serine/threonine-protein kinase TAO1,TAOK1__Q7L7X3,116070.0,26.8,23.0,19.0
Q7L804,RAB11FIP2,Rab11 family-interacting protein 2,RAB11FIP2__Q7L804,58278.0,18.8,8.0,7.0
Q7L8A9-2,VASH1,Vasohibin-1,VASH1__Q7L8A9-2,21844.0,8.8,1.0,1.0
Q7L8J4,SH3BP5L,SH3 domain-binding protein 5-like,SH3BP5L__Q7L8J4,43499.0,26.7,8.0,8.0
Q7L8L6,FASTKD5,FAST kinase domain-containing protein 5,FASTKD5__Q7L8L6,86573.0,28.5,16.0,16.0
Q7L8W6,DPH6,Diphthine--ammonia ligase,DPH6__Q7L8W6,30306.0,20.2,5.0,5.0
Q7L9B9,EEPD1,Endonuclease/exonuclease/phosphatase family domain-containing protein 1,EEPD1__Q7L9B9,62402.0,24.6,12.0,12.0
Q7L9L4,MOB1B,MOB kinase activator 1B,MOB1B__Q7L9L4,25091.0,25.5,5.0,1.0
Q7LBC6,KDM3B,Lysine-specific demethylase 3B,KDM3B__Q7LBC6,191580.0,29.5,39.0,37.0
Q7LBR1,CHMP1B,Charged multivesicular body protein 1b,CHMP1B__Q7LBR1,22109.0,19.6,5.0,5.0
Q7LDG7,RASGRP2,RAS guanyl-releasing protein 2,RASGRP2__Q7LDG7,69248.0,27.4,16.0,16.0
Q7LFX5,CHST15,Carbohydrate sulfotransferase 15,CHST15__Q7LFX5,64925.0,6.1,3.0,3.0
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,RRM2B__Q7LG56,40736.0,39.9,12.0,1.0
Q7LGA3,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1,HS2ST1__Q7LGA3,41881.0,35.1,11.0,11.0
Q7LGC8,CHST3,Carbohydrate sulfotransferase 3,CHST3__Q7LGC8,54705.0,17.7,7.0,7.0
Q7RTP0,NIPA1,Magnesium transporter NIPA1,NIPA1__Q7RTP0,34562.0,15.5,3.0,3.0
Q7RTP6,MICAL3,Protein-methionine sulfoxide oxidase MICAL3,MICAL3__Q7RTP6,224290.0,33.0,59.0,28.0
Q7RTS9,DYM,Dymeclin,DYM__Q7RTS9,75935.0,15.2,11.0,11.0
Q7RTV0,PHF5A,PHD finger-like domain-containing protein 5A,PHF5A__Q7RTV0,12405.0,61.8,7.0,7.0
Q7Z2E3-9,APTX,Aprataxin,APTX__Q7Z2E3-9,33294.0,38.7,10.0,2.0
Q7Z2K6,ERMP1,Endoplasmic reticulum metallopeptidase 1,ERMP1__Q7Z2K6,100230.0,33.7,24.0,24.0
Q7Z2K8,GPRIN1,G protein-regulated inducer of neurite outgrowth 1,GPRIN1__Q7Z2K8,102400.0,18.2,15.0,15.0
Q7Z2T5,TRMT1L,TRMT1-like protein,TRMT1L__Q7Z2T5,81746.0,38.5,21.0,21.0
Q7Z2W4,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1,ZC3HAV1__Q7Z2W4,101430.0,58.0,44.0,1.0
Q7Z2W9,MRPL21,"39S ribosomal protein L21, mitochondrial",MRPL21__Q7Z2W9,22814.0,51.7,8.0,8.0
Q7Z2X4-4,PID1,"PTB-containing, cubilin and LRP1-interacting protein",PID1__Q7Z2X4-4,24829.0,67.3,11.0,11.0
Q7Z2Z2,EFTUD1,Elongation factor Tu GTP-binding domain-containing protein 1,EFTUD1__Q7Z2Z2,125430.0,32.1,32.0,32.0
Q7Z304,MAMDC2,MAM domain-containing protein 2,MAMDC2__Q7Z304,77555.0,27.3,18.0,18.0
Q7Z333,SETX,Probable helicase senataxin,SETX__Q7Z333,302880.0,16.4,39.0,39.0
Q7Z388,DPY19L4,Probable C-mannosyltransferase DPY19L4,DPY19L4__Q7Z388,83755.0,8.3,7.0,7.0
Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11,TRAPPC11__Q7Z392,128880.0,23.3,24.0,24.0
Q7Z3B0,SMIM15,Small integral membrane protein 15,SMIM15__Q7Z3B0,8625.2,16.2,1.0,1.0
Q7Z3B1,NEGR1,Neuronal growth regulator 1,NEGR1__Q7Z3B1,38719.0,28.8,8.0,8.0
Q7Z3B4-3,NUP54,Nucleoporin p54,NUP54__Q7Z3B4-3,50775.0,58.0,22.0,22.0
Q7Z3C6,ATG9A,Autophagy-related protein 9A,ATG9A__Q7Z3C6,94446.0,34.9,24.0,24.0
Q7Z3D4,LYSMD3,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSMD3__Q7Z3D4,34537.0,18.6,5.0,5.0
Q7Z3D6-2,C14orf159,"UPF0317 protein C14orf159, mitochondrial",C14orf159__Q7Z3D6-2,66926.0,58.1,28.0,28.0
Q7Z3E2,CCDC186,Coiled-coil domain-containing protein 186,CCDC186__Q7Z3E2,103690.0,29.3,21.0,21.0
Q7Z3J2,C16orf62,UPF0505 protein C16orf62,C16orf62__Q7Z3J2,109560.0,43.1,37.0,37.0
Q7Z3K3-5,POGZ,Pogo transposable element with ZNF domain,POGZ__Q7Z3K3-5,145290.0,23.4,23.0,23.0
Q7Z3Q1,SLC46A3,Solute carrier family 46 member 3,SLC46A3__Q7Z3Q1,51519.0,5.9,2.0,2.0
Q7Z3T8,ZFYVE16,Zinc finger FYVE domain-containing protein 16,ZFYVE16__Q7Z3T8,168900.0,26.2,33.0,33.0
Q7Z3V4,UBE3B,Ubiquitin-protein ligase E3B,UBE3B__Q7Z3V4,123100.0,15.0,13.0,13.0
Q7Z403,TMC6,Transmembrane channel-like protein 6,TMC6__Q7Z403,90044.0,5.5,4.0,4.0
Q7Z406-6,MYH14,Myosin-14,MYH14__Q7Z406-6,228660.0,58.2,116.0,101.0
Q7Z412,PEX26,Peroxisome assembly protein 26,PEX26__Q7Z412,33898.0,27.5,7.0,7.0
Q7Z417,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2,NUFIP2__Q7Z417,76120.0,39.0,23.0,23.0
Q7Z422-2,SZRD1,SUZ domain-containing protein 1,SZRD1__Q7Z422-2,14604.0,62.1,6.0,6.0
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein,MAVS__Q7Z434,56527.0,60.2,19.0,5.0
Q7Z434-4,MAVS,Mitochondrial antiviral-signaling protein,MAVS__Q7Z434-4,40467.0,64.9,15.0,1.0
Q7Z449,CYP2U1,Cytochrome P450 2U1,CYP2U1__Q7Z449,61986.0,29.4,14.0,14.0
Q7Z460-4,CLASP1,CLIP-associating protein 1,CLASP1__Q7Z460-4,163060.0,48.0,57.0,1.0
Q7Z4F1,LRP10,Low-density lipoprotein receptor-related protein 10,LRP10__Q7Z4F1,76193.0,20.1,9.0,9.0
Q7Z4G1,COMMD6,COMM domain-containing protein 6,COMMD6__Q7Z4G1,9638.0,63.5,5.0,5.0
Q7Z4G4-2,TRMT11,tRNA (guanine(10)-N2)-methyltransferase homolog,TRMT11__Q7Z4G4-2,52789.0,13.3,5.0,5.0
