Protein ID,Gene names,Protein names,ProteinID_Genename,Genename_ProteinID
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,Q02790_FKBP4,FKBP4__Q02790
Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Q02809_PLOD1,PLOD1__Q02809
Q02818,NUCB1,Nucleobindin-1,Q02818_NUCB1,NUCB1__Q02818
Q02878,RPL6,60S ribosomal protein L6,Q02878_RPL6,RPL6__Q02878
Q02880-2,TOP2B,DNA topoisomerase 2-beta,Q02880-2_TOP2B,TOP2B__Q02880-2
Q02928,CYP4A11,Cytochrome P450 4A11,Q02928_CYP4A11,CYP4A11__Q02928
Q02952,AKAP12,A-kinase anchor protein 12,Q02952_AKAP12,AKAP12__Q02952
Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,Q02978_SLC25A11,SLC25A11__Q02978
Q02985-2,CFHR3,Complement factor H-related protein 3,Q02985-2_CFHR3,CFHR3__Q02985-2
Q03001,DST,Dystonin,Q03001_DST,DST__Q03001
Q03014,HHEX,Hematopoietically-expressed homeobox protein HHEX,Q03014_HHEX,HHEX__Q03014
Q03111,MLLT1,Protein ENL,Q03111_MLLT1,MLLT1__Q03111
Q03113,GNA12,Guanine nucleotide-binding protein subunit alpha-12,Q03113_GNA12,GNA12__Q03113
Q03135,CAV1,Caveolin-1,Q03135_CAV1,CAV1__Q03135
Q03154,ACY1,Aminoacylase-1,Q03154_ACY1,ACY1__Q03154
Q03164,KMT2A,Histone-lysine N-methyltransferase 2A,Q03164_KMT2A,KMT2A__Q03164
Q03167-2,TGFBR3,Transforming growth factor beta receptor type 3,Q03167-2_TGFBR3,TGFBR3__Q03167-2
Q03169,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,Q03169_TNFAIP2,TNFAIP2__Q03169
Q03188,CENPC,Centromere protein C,Q03188_CENPC,CENPC__Q03188
Q03252,LMNB2,Lamin-B2,Q03252_LMNB2,LMNB2__Q03252
Q03393,PTS,6-pyruvoyl tetrahydrobiopterin synthase,Q03393_PTS,PTS__Q03393
Q03405,PLAUR,Urokinase plasminogen activator surface receptor,Q03405_PLAUR,PLAUR__Q03405
Q03468,ERCC6,DNA excision repair protein ERCC-6,Q03468_ERCC6,ERCC6__Q03468
Q03591,CFHR1,Complement factor H-related protein 1,Q03591_CFHR1,CFHR1__Q03591
Q03692,COL10A1,Collagen alpha-1(X) chain,Q03692_COL10A1,COL10A1__Q03692
Q03701,CEBPZ,CCAAT/enhancer-binding protein zeta,Q03701_CEBPZ,CEBPZ__Q03701
Q04323,UBXN1,UBX domain-containing protein 1,Q04323_UBXN1,UBXN1__Q04323
Q04446,GBE1,"1,4-alpha-glucan-branching enzyme",Q04446_GBE1,GBE1__Q04446
Q04609,FOLH1,Glutamate carboxypeptidase 2,Q04609_FOLH1,FOLH1__Q04609
Q04637-3,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,Q04637-3_EIF4G1,EIF4G1__Q04637-3
Q04637-4,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,Q04637-4_EIF4G1,EIF4G1__Q04637-4
Q04656-5,ATP7A,Copper-transporting ATPase 1,Q04656-5_ATP7A,ATP7A__Q04656-5
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,Q04721_NOTCH2,NOTCH2__Q04721
Q04724,TLE1,Transducin-like enhancer protein 1,Q04724_TLE1,TLE1__Q04724
Q04760,GLO1,Lactoylglutathione lyase,Q04760_GLO1,GLO1__Q04760
Q04771,ACVR1,Activin receptor type-1,Q04771_ACVR1,ACVR1__Q04771
Q04828,AKR1C1,Aldo-keto reductase family 1 member C1,Q04828_AKR1C1,AKR1C1__Q04828
Q04837,SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Q04837_SSBP1,SSBP1__Q04837
Q04864-2,REL,Proto-oncogene c-Rel,Q04864-2_REL,REL__Q04864-2
Q04917,YWHAH,14-3-3 protein eta,Q04917_YWHAH,YWHAH__Q04917
Q04941,PLP2,Proteolipid protein 2,Q04941_PLP2,PLP2__Q04941
Q05048,CSTF1,Cleavage stimulation factor subunit 1,Q05048_CSTF1,CSTF1__Q05048
Q05086-3,UBE3A,Ubiquitin-protein ligase E3A,Q05086-3_UBE3A,UBE3A__Q05086-3
Q05209,PTPN12,Tyrosine-protein phosphatase non-receptor type 12,Q05209_PTPN12,PTPN12__Q05209
Q05315,CLC,Galectin-10,Q05315_CLC,CLC__Q05315
Q05397-7,PTK2,Focal adhesion kinase 1,Q05397-7_PTK2,PTK2__Q05397-7
Q05469,LIPE,Hormone-sensitive lipase,Q05469_LIPE,LIPE__Q05469
Q05513-2,PRKCZ,Protein kinase C zeta type,Q05513-2_PRKCZ,PRKCZ__Q05513-2
Q05516,ZBTB16,Zinc finger and BTB domain-containing protein 16,Q05516_ZBTB16,ZBTB16__Q05516
Q05519-2,SRSF11,Serine/arginine-rich splicing factor 11,Q05519-2_SRSF11,SRSF11__Q05519-2
Q05639,EEF1A2,Elongation factor 1-alpha 2,Q05639_EEF1A2,EEF1A2__Q05639
Q05655,PRKCD,Protein kinase C delta type,Q05655_PRKCD,PRKCD__Q05655
Q05682,CALD1,Caldesmon,Q05682_CALD1,CALD1__Q05682
Q05707,COL14A1,Collagen alpha-1(XIV) chain,Q05707_COL14A1,COL14A1__Q05707
Q05823,RNASEL,2-5A-dependent ribonuclease,Q05823_RNASEL,RNASEL__Q05823
Q05932-3,FPGS,"Folylpolyglutamate synthase, mitochondrial",Q05932-3_FPGS,FPGS__Q05932-3
Q05BS2,DIRC2,Disrupted in renal carcinoma protein 2,Q05BS2_DIRC2,DIRC2__Q05BS2
Q05D32,CTDSPL2,CTD small phosphatase-like protein 2,Q05D32_CTDSPL2,CTDSPL2__Q05D32
Q05DH4,FAM160A1,Protein FAM160A1,Q05DH4_FAM160A1,FAM160A1__Q05DH4
Q06033-2,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Q06033-2_ITIH3,ITIH3__Q06033-2
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,Q06124_PTPN11,PTPN11__Q06124
Q06136,KDSR,3-ketodihydrosphingosine reductase,Q06136_KDSR,KDSR__Q06136
Q06187,BTK,Tyrosine-protein kinase BTK,Q06187_BTK,BTK__Q06187
Q06190,PPP2R3A,Serine/threonine-protein phosphatase 2A regulatory subunit B subunit alpha,Q06190_PPP2R3A,PPP2R3A__Q06190
Q06203,PPAT,Amidophosphoribosyltransferase,Q06203_PPAT,PPAT__Q06203
Q06210-2,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Q06210-2_GFPT1,GFPT1__Q06210-2
Q06265,EXOSC9,Exosome complex component RRP45,Q06265_EXOSC9,EXOSC9__Q06265
Q06278,AOX1,Aldehyde oxidase,Q06278_AOX1,AOX1__Q06278
Q06323,PSME1,Proteasome activator complex subunit 1,Q06323_PSME1,PSME1__Q06323
Q06481-2,APLP2,Amyloid-like protein 2,Q06481-2_APLP2,APLP2__Q06481-2
Q06481-4,APLP2,Amyloid-like protein 2,Q06481-4_APLP2,APLP2__Q06481-4
Q06520,SULT2A1,Bile salt sulfotransferase,Q06520_SULT2A1,SULT2A1__Q06520
Q06546,GABPA,GA-binding protein alpha chain,Q06546_GABPA,GABPA__Q06546
Q06547-2,GABPB1,GA-binding protein subunit beta-1,Q06547-2_GABPB1,GABPB1__Q06547-2
Q06587,RING1,E3 ubiquitin-protein ligase RING1,Q06587_RING1,RING1__Q06587
Q06609-2,RAD51,DNA repair protein RAD51 homolog 1,Q06609-2_RAD51,RAD51__Q06609-2
Q06787-5,FMR1,Fragile X mental retardation protein 1,Q06787-5_FMR1,FMR1__Q06787-5
Q06787-6,FMR1,Fragile X mental retardation protein 1,Q06787-6_FMR1,FMR1__Q06787-6
Q06828,FMOD,Fibromodulin,Q06828_FMOD,FMOD__Q06828
Q06830,PRDX1,Peroxiredoxin-1,Q06830_PRDX1,PRDX1__Q06830
Q07000,HLA-C,"HLA class I histocompatibility antigen, Cw-15 alpha chain",Q07000_HLA-C,HLA-C__Q07000
Q07002-3,CDK18,Cyclin-dependent kinase 18,Q07002-3_CDK18,CDK18__Q07002-3
Q07021,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",Q07021_C1QBP,C1QBP__Q07021
Q07065,CKAP4,Cytoskeleton-associated protein 4,Q07065_CKAP4,CKAP4__Q07065
Q07075,ENPEP,Glutamyl aminopeptidase,Q07075_ENPEP,ENPEP__Q07075
Q07092-2,COL16A1,Collagen alpha-1(XVI) chain,Q07092-2_COL16A1,COL16A1__Q07092-2
Q07352,ZFP36L1,"Zinc finger protein 36, C3H1 type-like 1",Q07352_ZFP36L1,ZFP36L1__Q07352
Q07507,DPT,Dermatopontin,Q07507_DPT,DPT__Q07507
Q07617,SPAG1,Sperm-associated antigen 1,Q07617_SPAG1,SPAG1__Q07617
Q07666,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",Q07666_KHDRBS1,KHDRBS1__Q07666
Q07812-8,BAX,Apoptosis regulator BAX,Q07812-8_BAX,BAX__Q07812-8
Q5QP56,BCL2L1,Bcl-2-like protein 1,Q5QP56_BCL2L1,BCL2L1__Q5QP56
Q07820,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,Q07820_MCL1,MCL1__Q07820
Q07837,SLC3A1,Neutral and basic amino acid transport protein rBAT,Q07837_SLC3A1,SLC3A1__Q07837
Q07864,POLE,DNA polymerase epsilon catalytic subunit A,Q07864_POLE,POLE__Q07864
Q07866-6,KLC1,Kinesin light chain 1,Q07866-6_KLC1,KLC1__Q07866-6
Q07890-2,SOS2,Son of sevenless homolog 2,Q07890-2_SOS2,SOS2__Q07890-2
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1,Q07954_LRP1,LRP1__Q07954
Q07960,ARHGAP1,Rho GTPase-activating protein 1,Q07960_ARHGAP1,ARHGAP1__Q07960
Q08043,ACTN3,Alpha-actinin-3,Q08043_ACTN3,ACTN3__Q08043
Q08117,AES,Amino-terminal enhancer of split,Q08117_AES,AES__Q08117
Q08170,SRSF4,Serine/arginine-rich splicing factor 4,Q08170_SRSF4,SRSF4__Q08170
Q08174-2,PCDH1,Protocadherin-1,Q08174-2_PCDH1,PCDH1__Q08174-2
Q08209-2,PPP3CA,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,Q08209-2_PPP3CA,PPP3CA__Q08209-2
Q08211,DHX9,ATP-dependent RNA helicase A,Q08211_DHX9,DHX9__Q08211
Q08257,CRYZ,Quinone oxidoreductase,Q08257_CRYZ,CRYZ__Q08257
Q08334,IL10RB,Interleukin-10 receptor subunit beta,Q08334_IL10RB,IL10RB__Q08334
Q08357,SLC20A2,Sodium-dependent phosphate transporter 2,Q08357_SLC20A2,SLC20A2__Q08357
Q08378,GOLGA3,Golgin subfamily A member 3,Q08378_GOLGA3,GOLGA3__Q08378
Q08379,GOLGA2,Golgin subfamily A member 2,Q08379_GOLGA2,GOLGA2__Q08379
Q08380,LGALS3BP,Galectin-3-binding protein,Q08380_LGALS3BP,LGALS3BP__Q08380
Q08397,LOXL1,Lysyl oxidase homolog 1,Q08397_LOXL1,LOXL1__Q08397
Q08426,EHHADH,Peroxisomal bifunctional enzyme,Q08426_EHHADH,EHHADH__Q08426
Q08426-2,EHHADH,Peroxisomal bifunctional enzyme,Q08426-2_EHHADH,EHHADH__Q08426-2
Q08431,MFGE8,Lactadherin,Q08431_MFGE8,MFGE8__Q08431
Q08477,CYP4F3,Docosahexaenoic acid omega-hydroxylase CYP4F3,Q08477_CYP4F3,CYP4F3__Q08477
Q08477-2,CYP4F3,Docosahexaenoic acid omega-hydroxylase CYP4F3,Q08477-2_CYP4F3,CYP4F3__Q08477-2
Q08493-3,PDE4C,"cAMP-specific 3,5-cyclic phosphodiesterase 4C",Q08493-3_PDE4C,PDE4C__Q08493-3
Q08495-2,DMTN,Dematin,Q08495-2_DMTN,DMTN__Q08495-2
Q08499-6,PDE4D,"cAMP-specific 3,5-cyclic phosphodiesterase 4D",Q08499-6_PDE4D,PDE4D__Q08499-6
Q08554-2,DSC1,Desmocollin-1,Q08554-2_DSC1,DSC1__Q08554-2
Q08629,SPOCK1,Testican-1,Q08629_SPOCK1,SPOCK1__Q08629
Q08722,CD47,Leukocyte surface antigen CD47,Q08722_CD47,CD47__Q08722
Q08752,PPID,Peptidyl-prolyl cis-trans isomerase D,Q08752_PPID,PPID__Q08752
Q08830,FGL1,Fibrinogen-like protein 1,Q08830_FGL1,FGL1__Q08830
Q08945,SSRP1,FACT complex subunit SSRP1,Q08945_SSRP1,SSRP1__Q08945
Q08999,RBL2,Retinoblastoma-like protein 2,Q08999_RBL2,RBL2__Q08999
Q08AD1-3,CAMSAP2,Calmodulin-regulated spectrin-associated protein 2,Q08AD1-3_CAMSAP2,CAMSAP2__Q08AD1-3
Q08AE8-2,SPIRE1,Protein spire homolog 1,Q08AE8-2_SPIRE1,SPIRE1__Q08AE8-2
Q08AF3,SLFN5,Schlafen family member 5,Q08AF3_SLFN5,SLFN5__Q08AF3
Q08AG7,MZT1,Mitotic-spindle organizing protein 1,Q08AG7_MZT1,MZT1__Q08AG7
Q08AH1,ACSM1,"Acyl-coenzyme A synthetase ACSM1, mitochondrial",Q08AH1_ACSM1,ACSM1__Q08AH1
Q08AH3,ACSM2A,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",Q08AH3_ACSM2A,ACSM2A__Q08AH3
Q08AM6,VAC14,Protein VAC14 homolog,Q08AM6_VAC14,VAC14__Q08AM6
Q08ET2,SIGLEC14,Sialic acid-binding Ig-like lectin 14,Q08ET2_SIGLEC14,SIGLEC14__Q08ET2
Q08J23,NSUN2,tRNA (cytosine(34)-C(5))-methyltransferase,Q08J23_NSUN2,NSUN2__Q08J23
Q09013-12,DMPK,Myotonin-protein kinase,Q09013-12_DMPK,DMPK__Q09013-12
Q09028-3,RBBP4,Histone-binding protein RBBP4,Q09028-3_RBBP4,RBBP4__Q09028-3
Q09161,NCBP1,Nuclear cap-binding protein subunit 1,Q09161_NCBP1,NCBP1__Q09161
Q09328,MGAT5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",Q09328_MGAT5,MGAT5__Q09328
Q09472,EP300,Histone acetyltransferase p300,Q09472_EP300,EP300__Q09472
Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,Q09666_AHNAK,AHNAK__Q09666
Q0JRZ9,FCHO2,F-BAR domain only protein 2,Q0JRZ9_FCHO2,FCHO2__Q0JRZ9
Q0PNE2,ELP6,Elongator complex protein 6,Q0PNE2_ELP6,ELP6__Q0PNE2
S4R466,SMAGP,Small cell adhesion glycoprotein,S4R466_SMAGP,SMAGP__S4R466
Q0VD83,APOBR,Apolipoprotein B receptor,Q0VD83_APOBR,APOBR__Q0VD83
Q0VDF9,HSPA14,Heat shock 70 kDa protein 14,Q0VDF9_HSPA14,HSPA14__Q0VDF9
Q0VDG4-2,SCRN3,Secernin-3,Q0VDG4-2_SCRN3,SCRN3__Q0VDG4-2
Q0VF96,CGNL1,Cingulin-like protein 1,Q0VF96_CGNL1,CGNL1__Q0VF96
Q0VGL1,LAMTOR4,Ragulator complex protein LAMTOR4,Q0VGL1_LAMTOR4,LAMTOR4__Q0VGL1
Q0Z7S8,FABP9,Fatty acid-binding protein 9,Q0Z7S8_FABP9,FABP9__Q0Z7S8
Q0ZGT2,NEXN,Nexilin,Q0ZGT2_NEXN,NEXN__Q0ZGT2
Q0ZGT2-2,NEXN,Nexilin,Q0ZGT2-2_NEXN,NEXN__Q0ZGT2-2
Q10469,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Q10469_MGAT2,MGAT2__Q10469
Q10471,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,Q10471_GALNT2,GALNT2__Q10471
Q10472,GALNT1,Polypeptide N-acetylgalactosaminyltransferase 1,Q10472_GALNT1,GALNT1__Q10472
Q10567-2,AP1B1,AP-1 complex subunit beta-1,Q10567-2_AP1B1,AP1B1__Q10567-2
Q10567-3,AP1B1,AP-1 complex subunit beta-1,Q10567-3_AP1B1,AP1B1__Q10567-3
Q10570,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,Q10570_CPSF1,CPSF1__Q10570
Q10589,BST2,Bone marrow stromal antigen 2,Q10589_BST2,BST2__Q10589
Q10713,PMPCA,Mitochondrial-processing peptidase subunit alpha,Q10713_PMPCA,PMPCA__Q10713
Q11201,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Q11201_ST3GAL1,ST3GAL1__Q11201
Q11206-7,ST3GAL4,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4",Q11206-7_ST3GAL4,ST3GAL4__Q11206-7
Q12765,SCRN1,Secernin-1,Q12765_SCRN1,SCRN1__Q12765
Q12767,KIAA0195,Uncharacterized protein KIAA0195,Q12767_KIAA0195,KIAA0195__Q12767
Q12768,KIAA0196,WASH complex subunit strumpellin,Q12768_KIAA0196,KIAA0196__Q12768
Q12769,NUP160,Nuclear pore complex protein Nup160,Q12769_NUP160,NUP160__Q12769
Q12770,SCAP,Sterol regulatory element-binding protein cleavage-activating protein,Q12770_SCAP,SCAP__Q12770
Q12772,SREBF2,Sterol regulatory element-binding protein 2,Q12772_SREBF2,SREBF2__Q12772
Q12774,ARHGEF5,Rho guanine nucleotide exchange factor 5,Q12774_ARHGEF5,ARHGEF5__Q12774
Q12778,FOXO1,Forkhead box protein O1,Q12778_FOXO1,FOXO1__Q12778
Q12788,TBL3,Transducin beta-like protein 3,Q12788_TBL3,TBL3__Q12788
Q12789,GTF3C1,General transcription factor 3C polypeptide 1,Q12789_GTF3C1,GTF3C1__Q12789
Q12792,TWF1,Twinfilin-1,Q12792_TWF1,TWF1__Q12792
Q12794-7,HYAL1,Hyaluronidase-1,Q12794-7_HYAL1,HYAL1__Q12794-7
Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase,Q12797_ASPH,ASPH__Q12797
Q12800,TFCP2,Alpha-globin transcription factor CP2,Q12800_TFCP2,TFCP2__Q12800
Q12802-4,AKAP13,A-kinase anchor protein 13,Q12802-4_AKAP13,AKAP13__Q12802-4
Q12805-2,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Q12805-2_EFEMP1,EFEMP1__Q12805-2
Q12816,TRO,Trophinin,Q12816_TRO,TRO__Q12816
Q12824-2,SMARCB1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,Q12824-2_SMARCB1,SMARCB1__Q12824-2
Q12830-4,BPTF,Nucleosome-remodeling factor subunit BPTF,Q12830-4_BPTF,BPTF__Q12830-4
Q12840,KIF5A,Kinesin heavy chain isoform 5A,Q12840_KIF5A,KIF5A__Q12840
Q12841-2,FSTL1,Follistatin-related protein 1,Q12841-2_FSTL1,FSTL1__Q12841-2
Q12846,STX4,Syntaxin-4,Q12846_STX4,STX4__Q12846
Q12851-2,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2,Q12851-2_MAP4K2,MAP4K2__Q12851-2
Q12857-3,NFIA,Nuclear factor 1 A-type,Q12857-3_NFIA,NFIA__Q12857-3
Q12860,CNTN1,Contactin-1,Q12860_CNTN1,CNTN1__Q12860
Q12866,MERTK,Tyrosine-protein kinase Mer,Q12866_MERTK,MERTK__Q12866
Q12872,SFSWAP,"Splicing factor, suppressor of white-apricot homolog",Q12872_SFSWAP,SFSWAP__Q12872
Q12873,CHD3,Chromodomain-helicase-DNA-binding protein 3,Q12873_CHD3,CHD3__Q12873
Q12874,SF3A3,Splicing factor 3A subunit 3,Q12874_SF3A3,SF3A3__Q12874
Q12882,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)],Q12882_DPYD,DPYD__Q12882
Q12888,TP53BP1,Tumor suppressor p53-binding protein 1,Q12888_TP53BP1,TP53BP1__Q12888
Q12891,HYAL2,Hyaluronidase-2,Q12891_HYAL2,HYAL2__Q12891
Q12893,TMEM115,Transmembrane protein 115,Q12893_TMEM115,TMEM115__Q12893
Q12899,TRIM26,Tripartite motif-containing protein 26,Q12899_TRIM26,TRIM26__Q12899
Q12904,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,Q12904_AIMP1,AIMP1__Q12904
Q12905,ILF2,Interleukin enhancer-binding factor 2,Q12905_ILF2,ILF2__Q12905
Q12906,ILF3,Interleukin enhancer-binding factor 3,Q12906_ILF3,ILF3__Q12906
Q12906-7,ILF3,Interleukin enhancer-binding factor 3,Q12906-7_ILF3,ILF3__Q12906-7
Q12907,LMAN2,Vesicular integral-membrane protein VIP36,Q12907_LMAN2,LMAN2__Q12907
Q12923-3,PTPN13,Tyrosine-protein phosphatase non-receptor type 13,Q12923-3_PTPN13,PTPN13__Q12923-3
Q12929,EPS8,Epidermal growth factor receptor kinase substrate 8,Q12929_EPS8,EPS8__Q12929
Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial",Q12931_TRAP1,TRAP1__Q12931
Q12933-3,TRAF2,TNF receptor-associated factor 2,Q12933-3_TRAF2,TRAF2__Q12933-3
Q12955,ANK3,Ankyrin-3,Q12955_ANK3,ANK3__Q12955
Q12955-5,ANK3,Ankyrin-3,Q12955-5_ANK3,ANK3__Q12955-5
Q12955-6,ANK3,Ankyrin-3,Q12955-6_ANK3,ANK3__Q12955-6
Q12959-5,DLG1,Disks large homolog 1,Q12959-5_DLG1,DLG1__Q12959-5
Q12962,TAF10,Transcription initiation factor TFIID subunit 10,Q12962_TAF10,TAF10__Q12962
Q12965,MYO1E,Unconventional myosin-Ie,Q12965_MYO1E,MYO1E__Q12965
Q12972,PPP1R8,Nuclear inhibitor of protein phosphatase 1,Q12972_PPP1R8,PPP1R8__Q12972
Q12974,PTP4A2,Protein tyrosine phosphatase type IVA 2,Q12974_PTP4A2,PTP4A2__Q12974
Q12979-2,ABR,Active breakpoint cluster region-related protein,Q12979-2_ABR,ABR__Q12979-2
Q12981,BNIP1,Vesicle transport protein SEC20,Q12981_BNIP1,BNIP1__Q12981
Q12986,NFX1,Transcriptional repressor NF-X1,Q12986_NFX1,NFX1__Q12986
Q12996,CSTF3,Cleavage stimulation factor subunit 3,Q12996_CSTF3,CSTF3__Q12996
Q13009-2,TIAM1,T-lymphoma invasion and metastasis-inducing protein 1,Q13009-2_TIAM1,TIAM1__Q13009-2
Q13011,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Q13011_ECH1,ECH1__Q13011
Q13015,MLLT11,Protein AF1q,Q13015_MLLT11,MLLT11__Q13015
Q13033,STRN3,Striatin-3,Q13033_STRN3,STRN3__Q13033
Q13033-2,STRN3,Striatin-3,Q13033-2_STRN3,STRN3__Q13033-2
Q13042-3,CDC16,Cell division cycle protein 16 homolog,Q13042-3_CDC16,CDC16__Q13042-3
Q13043,STK4,Serine/threonine-protein kinase 4,Q13043_STK4,STK4__Q13043
Q13045,FLII,Protein flightless-1 homolog,Q13045_FLII,FLII__Q13045
Q13045-2,FLII,Protein flightless-1 homolog,Q13045-2_FLII,FLII__Q13045-2
Q13049,TRIM32,E3 ubiquitin-protein ligase TRIM32,Q13049_TRIM32,TRIM32__Q13049
Q13057,COASY,Bifunctional coenzyme A synthase,Q13057_COASY,COASY__Q13057
Q13070,GAGE6,G antigen 6,Q13070_GAGE6,GAGE6__Q13070
Q13077-2,TRAF1,TNF receptor-associated factor 1,Q13077-2_TRAF1,TRAF1__Q13077-2
Q13084,MRPL28,"39S ribosomal protein L28, mitochondrial",Q13084_MRPL28,MRPL28__Q13084
Q13085,ACACA,Acetyl-CoA carboxylase 1,Q13085_ACACA,ACACA__Q13085
Q13094,LCP2,Lymphocyte cytosolic protein 2,Q13094_LCP2,LCP2__Q13094
Q13099-2,IFT88,Intraflagellar transport protein 88 homolog,Q13099-2_IFT88,IFT88__Q13099-2
Q13103,SPP2,Secreted phosphoprotein 24,Q13103_SPP2,SPP2__Q13103
Q13107-2,USP4,Ubiquitin carboxyl-terminal hydrolase 4,Q13107-2_USP4,USP4__Q13107-2
Q13111,CHAF1A,Chromatin assembly factor 1 subunit A,Q13111_CHAF1A,CHAF1A__Q13111
Q13112,CHAF1B,Chromatin assembly factor 1 subunit B,Q13112_CHAF1B,CHAF1B__Q13112
Q13113,PDZK1IP1,PDZK1-interacting protein 1,Q13113_PDZK1IP1,PDZK1IP1__Q13113
Q13114,TRAF3,TNF receptor-associated factor 3,Q13114_TRAF3,TRAF3__Q13114
Q13123,IK,Protein Red,Q13123_IK,IK__Q13123
Q13126,MTAP,S-methyl-5-thioadenosine phosphorylase,Q13126_MTAP,MTAP__Q13126
Q13127-4,REST,RE1-silencing transcription factor,Q13127-4_REST,REST__Q13127-4
Q13129,RLF,Zinc finger protein Rlf,Q13129_RLF,RLF__Q13129
Q13131,PRKAA1,5-AMP-activated protein kinase catalytic subunit alpha-1,Q13131_PRKAA1,PRKAA1__Q13131
Q13136,PPFIA1,Liprin-alpha-1,Q13136_PPFIA1,PPFIA1__Q13136
Q13137-4,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,Q13137-4_CALCOCO2,CALCOCO2__Q13137-4
Q13144,EIF2B5,Translation initiation factor eIF-2B subunit epsilon,Q13144_EIF2B5,EIF2B5__Q13144
Q13148,TARDBP,TAR DNA-binding protein 43,Q13148_TARDBP,TARDBP__Q13148
Q13151,HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,Q13151_HNRNPA0,HNRNPA0__Q13151
Q13153,PAK1,Serine/threonine-protein kinase PAK 1,Q13153_PAK1,PAK1__Q13153
Q13155,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,Q13155_AIMP2,AIMP2__Q13155
Q13158,FADD,FAS-associated death domain protein,Q13158_FADD,FADD__Q13158
Q13162,PRDX4,Peroxiredoxin-4,Q13162_PRDX4,PRDX4__Q13162
Q13164,MAPK7,Mitogen-activated protein kinase 7,Q13164_MAPK7,MAPK7__Q13164
Q13177,PAK2,Serine/threonine-protein kinase PAK 2,Q13177_PAK2,PAK2__Q13177
Q13185,CBX3,Chromobox protein homolog 3,Q13185_CBX3,CBX3__Q13185
Q13188,STK3,Serine/threonine-protein kinase 3,Q13188_STK3,STK3__Q13188
Q13190,STX5,Syntaxin-5,Q13190_STX5,STX5__Q13190
Q13191,CBLB,E3 ubiquitin-protein ligase CBL-B,Q13191_CBLB,CBLB__Q13191
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2,Q13200_PSMD2,PSMD2__Q13200
Q13201,MMRN1,Multimerin-1,Q13201_MMRN1,MMRN1__Q13201
Q13206,DDX10,Probable ATP-dependent RNA helicase DDX10,Q13206_DDX10,DDX10__Q13206
Q13217,DNAJC3,DnaJ homolog subfamily C member 3,Q13217_DNAJC3,DNAJC3__Q13217
Q13219,PAPPA,Pappalysin-1,Q13219_PAPPA,PAPPA__Q13219
Q13228,SELENBP1,Selenium-binding protein 1,Q13228_SELENBP1,SELENBP1__Q13228
Q13231-3,CHIT1,Chitotriosidase-1,Q13231-3_CHIT1,CHIT1__Q13231-3
Q13232,NME3,Nucleoside diphosphate kinase 3,Q13232_NME3,NME3__Q13232
Q13242,SRSF9,Serine/arginine-rich splicing factor 9,Q13242_SRSF9,SRSF9__Q13242
Q13243,SRSF5,Serine/arginine-rich splicing factor 5,Q13243_SRSF5,SRSF5__Q13243
Q13247-3,SRSF6,Serine/arginine-rich splicing factor 6,Q13247-3_SRSF6,SRSF6__Q13247-3
Q13253,NOG,Noggin,Q13253_NOG,NOG__Q13253
