Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
HMGCL,HL,ENSG00000117305,3-hydroxymethyl-3-methylglutaryl-CoA lyase,1,23801885-23838620,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA004727,Enhanced,,,,"Renal cancer:5.07e-8 (favourable), Colorectal cancer:7.67e-4 (favourable)",Expressed in all,Expressed in all,,,liver: 154.3,Expressed in all,,
HMGCLL1,"bA418P12.1, DKFZP434G1411",ENSG00000146151,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,6,55434369-55579214,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,cerebral cortex: 14.5;placenta: 9.0,prostate: 5.2,Cell line enriched,11,SCLC-21H: 7.1
HMGCR,,ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase,5,75336329-75362104,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA008338, CAB016797",Approved,,,,Renal cancer:9.42e-6 (favourable),Expressed in all,Expressed in all,,,cerebral cortex: 87.5,Expressed in all,,
HMGCS1,HMGCS,ENSG00000112972,3-hydroxy-3-methylglutaryl-CoA synthase 1,5,43289395-43313512,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB032907, HPA036913, HPA036914",Approved,,Supported,Nucleus<br>Plasma membrane<br>Cytosol,Renal cancer:3.87e-6 (favourable),Expressed in all,Expressed in all,,,liver: 208.7,Expressed in all,,
HMGCS2,,ENSG00000134240,3-hydroxy-3-methylglutaryl-CoA synthase 2,1,119747996-119768905,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA027423, HPA027442, CAB032906",Enhanced,,Supported,Mitochondria,"Liver cancer:2.43e-7 (favourable), Renal cancer:3.43e-5 (favourable), Ovarian cancer:2.17e-4 (favourable)",Tissue enhanced,Tissue enhanced,,liver: 1270.5,colon: 363.4,Cell line enriched,15,RT4: 161.6
HMOX1,"bK286B10, HO-1",ENSG00000100292,Heme oxygenase 1,22,35380361-35394214,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA000635, CAB017444",Enhanced,,Uncertain,Golgi apparatus<br>Plasma membrane,Liver cancer:1.59e-4 (unfavourable),Expressed in all,Expressed in all,,,spleen: 428.5,Cell line enhanced,,BEWO: 701.9;U-138 MG: 414.7;U-87 MG: 399.9
HMOX2,HO-2,ENSG00000103415,Heme oxygenase 2,16,4474690-4510347,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB025464, HPA040611",Supported,,Approved,Vesicles<br>Cytosol,"Renal cancer:8.98e-6 (favourable), Endometrial cancer:7.91e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 97.6,Expressed in all,,
HNMT,,ENSG00000150540,Histamine N-methyltransferase,2,137964020-138016364,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA035480, HPA035481",Approved,,,,"Pancreatic cancer:3.41e-4 (unfavourable), Urothelial cancer:4.68e-4 (favourable)",Expressed in all,Expressed in all,,,liver: 124.0,Cell line enhanced,,Hep G2: 152.7;RT4: 91.6
HOGA1,"C10orf65, DHDPS2, DHDPSL, FLJ37472, NPL2",ENSG00000241935,4-hydroxy-2-oxoglutarate aldolase 1,10,97584323-97612802,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA039466,Approved,,,,Renal cancer:9.08e-4 (favourable),Group enriched,Tissue enhanced,,kidney: 53.4;liver: 20.7,heart muscle: 8.5,Cell line enhanced,,EFO-21: 9.0;Hep G2: 17.6;RPTEC TERT1: 23.2
HP,,ENSG00000257017,Haptoglobin,16,72054592-72061055,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB003787, HPA047750",Enhanced,,Approved,Vesicles,Renal cancer:6.94e-13 (unfavourable),Tissue enriched,Tissue enriched,182,liver: 28407.0,bone marrow: 155.8,Cell line enhanced,,Hep G2: 153.5;HSkMC: 88.2
HPD,"4-HPPD, 4HPPD, GLOD3, PPD",ENSG00000158104,4-hydroxyphenylpyruvate dioxygenase,12,121839527-121863596,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038321, HPA038322",Enhanced,,Uncertain,Nuclear speckles,,Tissue enriched,Group enriched,86,kidney: 529.9;liver: 1293.2,seminal vesicle: 10.5,Cell line enriched,24,Hep G2: 349.1
HPGD,SDR36C1,ENSG00000164120,Hydroxyprostaglandin dehydrogenase 15-(NAD),4,174490177-174523154,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA004919, HPA005679",Enhanced,,Supported,Nucleoplasm<br>Cytosol,Renal cancer:3.20e-4 (favourable),Tissue enhanced,Tissue enhanced,,urinary bladder: 375.7,stomach: 181.5,Cell line enhanced,,A549: 128.2;HEL: 282.4;RT4: 385.2
HPGDS,"GSTS, GSTS1, GSTS1-1, H-PGDS, PGD2, PGDS",ENSG00000163106,Hematopoietic prostaglandin D synthase,4,94298535-94342876,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA024035,Enhanced,,,,,Mixed,Tissue enhanced,,placenta: 28.1,lung: 14.5,Group enriched,9,HEL: 43.7;HMC-1: 12.2
HPN,TMPRSS1,ENSG00000105707,Hepsin,19,35040506-35066571,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA006804,Approved,,,,Renal cancer:5.45e-5 (favourable),Tissue enhanced,Tissue enhanced,,kidney: 99.7;liver: 155.4,prostate: 31.6,Group enriched,7,EFO-21: 29.1;Hep G2: 31.2;T-47d: 20.3
HPR,,ENSG00000261701,Haptoglobin-related protein,16,72063224-72077246,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA047750,Supported,,Approved,Vesicles,,Tissue enriched,Tissue enriched,24,liver: 444.1,heart muscle: 18.7,Cell line enriched,14,Hep G2: 34.3
HPRT1,"HGPRT, HPRT",ENSG00000165704,Hypoxanthine phosphoribosyltransferase 1,X,134460153-134520513,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA006360, CAB012200",Enhanced,,Supported,Cytosol,Head and neck cancer:1.35e-5 (unfavourable),Expressed in all,Expressed in all,,,testis: 139.1,Mixed,,
HPSE,"HPA, HPSE1, HSE1",ENSG00000173083,Heparanase,4,83292461-83335153,"Enzymes, Predicted secreted proteins",Evidence at protein level,"CAB009813, HPA055344",,,Enhanced,Nucleoplasm<br>Vesicles,,Mixed,Tissue enhanced,,parathyroid gland: 20.0,testis: 10.0,Cell line enhanced,,Karpas-707: 27.7
HS3ST1,3OST1,ENSG00000002587,Heparan sulfate-glucosamine 3-sulfotransferase 1,4,11393150-11429765,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA002237,Approved,,Approved,Vesicles,"Renal cancer:5.99e-8 (favourable), Endometrial cancer:7.73e-4 (favourable), Urothelial cancer:8.67e-4 (favourable)",Mixed,Tissue enhanced,,gallbladder: 13.9;ovary: 23.2,urinary bladder: 5.6,Cell line enhanced,,CAPAN-2: 12.2;RPTEC TERT1: 9.1;RT4: 8.0;SCLC-21H: 4.3
HS3ST2,3OST2,ENSG00000122254,Heparan sulfate-glucosamine 3-sulfotransferase 2,16,22814177-22916338,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA017736,Approved,,,,"Renal cancer:1.35e-4 (favourable), Glioma:2.22e-4 (unfavourable)",Mixed,Tissue enriched,30,cerebral cortex: 35.7,lung: 1.1,Group enriched,7,HaCaT: 8.5;SH-SY5Y: 17.7
HS3ST3A1,"30ST3A1, 3OST3A1",ENSG00000153976,Heparan sulfate-glucosamine 3-sulfotransferase 3A1,17,13495689-13601927,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA062518, HPA071530",Uncertain,,Approved,Microtubules,,Mixed,Tissue enhanced,,spleen: 9.1,seminal vesicle: 6.8,Cell line enhanced,,PC-3: 40.6;U-251 MG: 103.1;U-87 MG: 72.4
HS3ST3B1,"30ST3B1, 3OST3B1",ENSG00000125430,Heparan sulfate-glucosamine 3-sulfotransferase 3B1,17,14301083-14349404,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA064126,,,Approved,Vesicles,,Mixed,Tissue enhanced,,liver: 14.7,lymph node: 7.1,Cell line enhanced,,AF22: 20.5;BEWO: 14.3;HSkMC: 14.6;U-251 MG: 16.3
HS3ST4,3OST4,ENSG00000182601,Heparan sulfate-glucosamine 3-sulfotransferase 4,16,25692026-26137688,"Enzymes, Predicted membrane proteins",Evidence at transcript level,,,,,,,Mixed,Tissue enriched,7,cerebral cortex: 18.7,breast: 2.8,Cell line enhanced,,NTERA-2: 1.4
HS3ST5,3-OST-5,ENSG00000249853,Heparan sulfate-glucosamine 3-sulfotransferase 5,6,114055586-114343045,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA021823, HPA064677",Approved,,,,,Not detected,Group enriched,5,cerebral cortex: 6.2;seminal vesicle: 2.2;skeletal muscle: 1.3,adrenal gland: 0.6,Cell line enhanced,,PC-3: 4.2;RT4: 6.8;SCLC-21H: 19.0
HS3ST6,HS3ST5,ENSG00000162040,Heparan sulfate-glucosamine 3-sulfotransferase 6,16,1911463-1918440,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,Cervical cancer:3.73e-4 (favourable),Tissue enhanced,Tissue enriched,10,skin: 9.5,fallopian tube: 0.9,Not detected,,
HSD11B1,"HSD11, HSD11B, SDR26C1",ENSG00000117594,Hydroxysteroid 11-beta dehydrogenase 1,1,209686178-209734950,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA047729,Enhanced,,,,Renal cancer:1.97e-10 (unfavourable),Tissue enriched,Group enriched,9,liver: 492.5;placenta: 105.1,ovary: 31.6,Group enriched,6,ASC diff: 678.2;HHSteC: 173.0
HSD17B1,"EDH17B2, EDHB17, HSD17, MGC138140, SDR28C1",ENSG00000108786,Hydroxysteroid 17-beta dehydrogenase 1,17,42549214-42555213,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA021032, HPA065296",Enhanced,,Supported,Cytosol,,Mixed,Tissue enriched,14,placenta: 98.3,cerebral cortex: 7.1,Cell line enriched,8,BEWO: 331.8
HSD17B10,"17b-HSD10, ABAD, CAMR, ERAB, HADH2, MHBD, MRPP2, MRXS10, SDR5C1",ENSG00000072506,Hydroxysteroid 17-beta dehydrogenase 10,X,53431258-53434373,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA001432,Approved,,,,Cervical cancer:2.80e-4 (favourable),Expressed in all,Expressed in all,,,liver: 126.6,Expressed in all,,
HSD17B11,"17-BETA-HSD11, 17-BETA-HSDXI, DHRS8, PAN1B, RetSDR2, SDR16C2",ENSG00000198189,Hydroxysteroid 17-beta dehydrogenase 11,4,87336610-87391386,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA021608,Approved,,Supported,Lipid droplets,,Expressed in all,Expressed in all,,,small intestine: 295.2,Cell line enhanced,,CAPAN-2: 236.8
HSD17B12,"KAR, SDR12C1",ENSG00000149084,Hydroxysteroid 17-beta dehydrogenase 12,11,43680558-43856617,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA016427,Approved,,,,"Renal cancer:2.10e-8 (favourable), Liver cancer:2.76e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 196.5,Expressed in all,,
HSD17B2,"HSD17, SDR9C2",ENSG00000086696,Hydroxysteroid 17-beta dehydrogenase 2,16,82035004-82098534,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA021826, HPA050235",Enhanced,,Approved,Endoplasmic reticulum,Urothelial cancer:3.83e-4 (favourable),Tissue enhanced,Tissue enhanced,,duodenum: 430.9;placenta: 552.6,small intestine: 199.4,Cell line enhanced,,BJ hTERT+: 47.0;Hep G2: 32.2;RT4: 77.0;TIME: 44.0
HSD17B3,SDR12C2,ENSG00000130948,Hydroxysteroid 17-beta dehydrogenase 3,9,96235306-96302152,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA056833,Enhanced,,Supported,Vesicles,,Mixed,Tissue enriched,15,testis: 74.9,thyroid gland: 4.8,Cell line enhanced,,HBEC3-KT: 2.6;HEL: 3.2;U-2 OS: 5.8
HSD17B4,"DBP, MFE-2, SDR8C1",ENSG00000133835,Hydroxysteroid 17-beta dehydrogenase 4,5,119452443-119637199,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA021302, HPA021311, HPA021479",Enhanced,,Enhanced,Peroxisomes,"Renal cancer:6.31e-6 (favourable), Colorectal cancer:1.33e-4 (favourable)",Expressed in all,Expressed in all,,,thyroid gland: 229.7,Expressed in all,,
HSD17B6,"HSE, RODH, SDR9C6",ENSG00000025423,Hydroxysteroid 17-beta dehydrogenase 6,12,56752161-56787790,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA059141,Enhanced,,Approved,Nucleus<br>Vesicles,Liver cancer:6.32e-4 (favourable),Tissue enriched,Tissue enriched,10,liver: 930.6,seminal vesicle: 96.0,Cell line enhanced,,SCLC-21H: 12.9
HSD17B7,"PRAP, SDR37C1",ENSG00000132196,Hydroxysteroid 17-beta dehydrogenase 7,1,162790702-162812817,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA047496,Approved,,,,Renal cancer:8.47e-5 (unfavourable),Expressed in all,Mixed,,,liver: 16.9,Expressed in all,,
HSD17B8,"D6S2245E, FABGL, H2-KE6, HKE6, KE6, RING2, SDR30C1",ENSG00000204228,Hydroxysteroid 17-beta dehydrogenase 8,6,33204642-33206831,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA042132,Enhanced,,,,"Renal cancer:2.18e-12 (favourable), Liver cancer:1.90e-5 (favourable), Breast cancer:9.99e-4 (favourable)",Expressed in all,Mixed,,,parathyroid gland: 9.9,Cell line enhanced,,RPMI-8226: 11.7;T-47d: 9.9;U-266/70: 12.1
HSD3B1,"HSD3B, HSDB3, SDR11E1",ENSG00000203857,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",1,119507198-119515054,"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA043261, HPA043264, HPA044028",Supported,,,,Urothelial cancer:4.59e-5 (favourable),Tissue enhanced,Tissue enriched,13,placenta: 110.5,small intestine: 8.7,Cell line enriched,7,CACO-2: 52.9
HSD3B2,SDR11E2,ENSG00000203859,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",1,119414931-119423035,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA043261, HPA043264, HPA044028",Supported,,,,,Tissue enhanced,Tissue enriched,433,adrenal gland: 2384.5,testis: 5.5,Cell line enhanced,,SK-MEL-30: 1.2
HSD3B7,"C(27)-3BETA-HSD, SDR11E3",ENSG00000099377,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",16,30985207-30989152,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA050521, HPA060847",Uncertain,,Supported,Lipid droplets,"Renal cancer:1.60e-6 (unfavourable), Colorectal cancer:5.95e-4 (unfavourable)",Expressed in all,Expressed in all,,,liver: 21.9,Cell line enhanced,,HDLM-2: 83.9;HMC-1: 85.9;U-2197: 89.0
HSPD1,"GroEL, HSP60, SPG13",ENSG00000144381,Heat shock protein family D (Hsp60) member 1,2,197486581-197516737,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA001523, CAB002775, HPA050025, CAB072816",Supported,,Enhanced,Mitochondria,"Endometrial cancer:1.61e-4 (unfavourable), Liver cancer:2.25e-4 (unfavourable)",Expressed in all,Expressed in all,,,adrenal gland: 834.1,Expressed in all,,
HTRA1,"ARMD7, HtrA, IGFBP5-protease, PRSS11",ENSG00000166033,HtrA serine peptidase 1,10,122461525-122514908,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA036655,Enhanced,,Supported,Plasma membrane,"Renal cancer:7.90e-7 (unfavourable), Urothelial cancer:5.62e-6 (unfavourable), Glioma:8.66e-4 (unfavourable)",Expressed in all,Mixed,,,ovary: 503.4,Cell line enhanced,,ASC diff: 1649.0;HSkMC: 1139.5;LHCN-M2: 1027.1;U-87 MG: 974.2
HTRA2,"OMI, PARK13, PRSS25",ENSG00000115317,HtrA serine peptidase 2,2,74529377-74533348,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"CAB004004, HPA006602, HPA027366",Uncertain,,Supported,Mitochondria,Liver cancer:7.77e-8 (unfavourable),Expressed in all,Mixed,,,spleen: 9.0,Expressed in all,,
HTRA3,"Prsp, Tasp",ENSG00000170801,HtrA serine peptidase 3,4,8269765-8307111,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA021187, HPA063810",Approved,,Approved,Vesicles,"Renal cancer:1.61e-9 (unfavourable), Thyroid cancer:1.29e-4 (unfavourable)",Expressed in all,Mixed,,,ovary: 60.9,Cell line enriched,6,U-2197: 168.9
HTRA4,FLJ90724,ENSG00000169495,HtrA serine peptidase 4,8,38974164-38988662,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA045402,Enhanced,,,,,Tissue enhanced,Tissue enriched,20,placenta: 94.9,bone marrow: 4.7,Cell line enriched,160,BEWO: 219.1
HUNK,,ENSG00000142149,Hormonally up-regulated Neu-associated kinase,21,31873315-32044633,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA027295, HPA027372",Approved,,Approved,Nucleoplasm<br>Plasma membrane,Renal cancer:7.48e-5 (favourable),Mixed,Mixed,,,placenta: 6.8,Cell line enhanced,,AF22: 13.3;BEWO: 15.9;RH-30: 17.7;SCLC-21H: 17.5;SiHa: 14.1
HUWE1,"Ib772, KIAA0312, UREB1",ENSG00000086758,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",X,53532096-53686729,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA002548, CAB022718",Approved,,Enhanced,Nucleoplasm<br>Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 96.6,Expressed in all,,
HYAL1,"FUS2, HYAL-1, LUCA1, NAT6",ENSG00000114378,Hyaluronoglucosaminidase 1,3,50299889-50312381,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA002112,Uncertain,,,,"Renal cancer:1.56e-11 (favourable), Colorectal cancer:2.07e-4 (favourable)",Expressed in all,Tissue enhanced,,liver: 71.1;spleen: 69.3,kidney: 43.5,Cell line enhanced,,Hep G2: 66.6;SK-BR-3: 20.5
HYAL2,"LuCa-2, LUCA2",ENSG00000068001,Hyaluronoglucosaminidase 2,3,50317790-50322906,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA036436,Uncertain,,,,,Expressed in all,Expressed in all,,,spleen: 214.2,Expressed in all,,
HYAL3,"LUCA-3, LUCA14, Minna14",ENSG00000186792,Hyaluronoglucosaminidase 3,3,50292831-50299468,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA049402,Uncertain,,,,Urothelial cancer:2.12e-5 (unfavourable),Expressed in all,Tissue enhanced,,bone marrow: 22.7,testis: 14.0,Expressed in all,,
HYAL4,,ENSG00000106302,Hyaluronoglucosaminidase 4,7,123828983-123877478,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA029453,Uncertain,,,,,Tissue enriched,Tissue enhanced,,placenta: 5.9;testis: 4.0,"skin,spleen: 1.1",Cell line enhanced,,BEWO: 3.5;CAPAN-2: 5.2;RT4: 11.2
HYI,HT036,ENSG00000178922,Hydroxypyruvate isomerase (putative),1,43451003-43453989,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040092,Uncertain,,Approved,Golgi apparatus<br>Plasma membrane<br>Cytosol,"Urothelial cancer:2.72e-5 (favourable), Renal cancer:2.75e-5 (unfavourable), Colorectal cancer:4.96e-4 (unfavourable), Liver cancer:5.55e-4 (unfavourable), Breast cancer:9.18e-4 (favourable)",Expressed in all,Expressed in all,,,seminal vesicle: 81.4,Mixed,,
HYKK,"AGPHD1, LOC123688",ENSG00000188266,Hydroxylysine kinase,15,78507564-78537372,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA040706,Approved,,Approved,Vesicles<br>Aggresome,,Mixed,Mixed,,,kidney: 12.5,Cell line enhanced,,HEK 293: 20.5
IARS,"IARS1, ILRS",ENSG00000196305,Isoleucyl-tRNA synthetase,9,92210207-92293756,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA029806,Approved,,Supported,Cytosol,Liver cancer:4.98e-7 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 141.8,Expressed in all,,
IARS2,FLJ10326,ENSG00000067704,"Isoleucyl-tRNA synthetase 2, mitochondrial",1,220094102-220148041,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA024212, HPA024594, HPA024596",Enhanced,,Enhanced,Mitochondria,"Pancreatic cancer:9.24e-5 (unfavourable), Cervical cancer:1.04e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 144.3,Expressed in all,,
ICK,"KIAA0936, LCK2, MGC46090, MRK",ENSG00000112144,Intestinal cell kinase,6,53001279-53061802,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA000791, HPA001113",Approved,,Approved,Nucleoli fibrillar center,,Expressed in all,Mixed,,,adrenal gland: 23.1,Expressed in all,,
ICMT,"HSTE14, PCCMT, PPMT",ENSG00000116237,Isoprenylcysteine carboxyl methyltransferase,1,6221193-6235972,"Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA032024, HPA032025",Uncertain,,,,Liver cancer:1.79e-4 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 45.1,Expressed in all,,
IDE,,ENSG00000119912,Insulin degrading enzyme,10,92451684-92574076,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA063478,Approved,,,,"Endometrial cancer:3.53e-4 (favourable), Colorectal cancer:3.69e-4 (favourable)",Expressed in all,Expressed in all,,,skin: 63.4,Expressed in all,,
IDH1,,ENSG00000138413,"Isocitrate dehydrogenase (NADP(+)) 1, cytosolic",2,208236227-208266074,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB033218, HPA035248, HPA057936, CAB062556",Enhanced,,Approved,Nuclear bodies<br>Cytosol,"Renal cancer:2.45e-5 (unfavourable), Liver cancer:6.93e-5 (unfavourable)",Expressed in all,Expressed in all,,,prostate: 338.1,Expressed in all,,
IDH2,,ENSG00000182054,"Isocitrate dehydrogenase (NADP(+)) 2, mitochondrial",15,90083045-90102504,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA007831,Enhanced,,Supported,Mitochondria,Cervical cancer:5.15e-5 (favourable),Expressed in all,Expressed in all,,,skeletal muscle: 450.0,Expressed in all,,
IDH3A,,ENSG00000166411,Isocitrate dehydrogenase 3 (NAD(+)) alpha,15,78131498-78171949,"Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA041465, HPA062971",Supported,,Enhanced,Mitochondria,Renal cancer:6.49e-8 (favourable),Expressed in all,Expressed in all,,,cerebral cortex: 44.1,Expressed in all,,
IDH3B,RP46,ENSG00000101365,Isocitrate dehydrogenase 3 (NAD(+)) beta,20,2658395-2664219,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA049387, HPA054180",Enhanced,,Enhanced,Mitochondria,"Renal cancer:6.78e-8 (favourable), Liver cancer:1.59e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 100.5,Expressed in all,,
IDH3G,,ENSG00000067829,Isocitrate dehydrogenase 3 (NAD(+)) gamma,X,153785766-153794523,"Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA000425, HPA002017",Enhanced,,Enhanced,Mitochondria,Renal cancer:5.73e-6 (favourable),Expressed in all,Expressed in all,,,cerebral cortex: 64.9,Expressed in all,,
IDI1,,ENSG00000067064,Isopentenyl-diphosphate delta isomerase 1,10,1039908-1049170,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA039169,Approved,,,,Renal cancer:1.46e-4 (favourable),Expressed in all,Expressed in all,,,breast: 244.8,Expressed in all,,
IDI2,IPPI2,ENSG00000148377,Isopentenyl-diphosphate delta isomerase 2,10,1018907-1025859,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Tissue enriched,41,skeletal muscle: 76.3,heart muscle: 1.8,Not detected,,
IDNK,"bA522I20.2, C9orf103, hGntK",ENSG00000148057,"IDNK, gluconokinase",9,83623049-83644130,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA020378, HPA058429",Enhanced,,Approved,Mitochondria<br>Cytosol,Endometrial cancer:1.10e-6 (favourable),Expressed in all,Mixed,,,kidney: 50.5,Mixed,,
IDO1,"IDO, INDO",ENSG00000131203,"Indoleamine 2,3-dioxygenase 1",8,39902275-39928444,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA023072, HPA023149, HPA027772, CAB072820",Enhanced,,,,"Renal cancer:1.12e-7 (unfavourable), Ovarian cancer:3.32e-4 (favourable), Melanoma:5.27e-4 (favourable)",Expressed in all,Tissue enhanced,,placenta: 149.4,lymph node: 57.3,Cell line enriched,7,EFO-21: 54.8
IDS,SIDS,ENSG00000010404,Iduronate 2-sulfatase,X,149476990-149521096,"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins",Evidence at protein level,,,,,,,Expressed in all,Tissue enriched,5,cerebral cortex: 435.8,epididymis: 86.8,Expressed in all,,
